text,anotador1,anotador2,anotador3,coluna_combinada,final_label
"A classe média cariôca que vai à praia ela paga pelo direito de sujar o que ela mesmo usa. Pessoas ricas de fino trato, roupas da hora, sapatênis e Iphone ou big câmeras fotografando o pôr do sol. Eu catei taaaanto lixo dessa galera na praia. Se toquem!",not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
"A ferj fez a CBF usa isso só prós times colocarem mais foco no Carioca que e um campeonato de merda , infelizmente essa é a máfia",toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
"A fferj é muito sem noção mané, um sol pra cada um no RJ e botam jogo do carioca 15h30 da tarde em moça bonita Parece que gostam de ver um futebol merda sendo praticado",toxic,not_toxic,not_toxic,"toxic, not_toxic, not_toxic",not_toxic
"A gata so manda mensagem e bloqueia, q linda, dps fala q a gente q nao tem argumento, mas essa aí tava chamando nordestino de bando de lixo do caralho",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"A gay é bolsonarista e quer desmerecer o voto do nordestino em Lula. Acorda flor, Bolsonaro deixou bem claro que deseja que você gay morra! Kami só conheço pq tava no trend",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"A gente enquanto nordestino ainda é obrigado a ouvir cada merda que pqp, pois uma mulher que saiu de Minas Gerais pra PE de férias, veio dizer na minha cara que aqui o dinheiro dela dava de sobra, porque as coisas eram baratas, até aí ok.",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
A gente ta sendo tratado q nem lixo e nao há sensibilidade alguma. Nenhuma campanha contra a XENOFOBIA que essa gente anda praticando. Apenas somos usados pra chocar? Se importam com o ódio q é alimentado contra nós ou só somos vitrine? olhe como bolsonarismo trata nordestinos,not_toxic,not_toxic,not_toxic,"not_toxic, not_toxic, not_toxic",not_toxic
"A justificativa é que foi assédio, na ORGIA, PUTARIA, BACANAL... puta merda. Foi sim por que ele é negro e nordestino....",not_toxic,not_toxic,not_toxic,"not_toxic, not_toxic, not_toxic",not_toxic
A menina é carioca e o sotaque carioca dela ficou uma merda... questionável,not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
A minha cabeça tá MUITO a mil: e se eu não conseguir ingresso? E se eu conseguir e a visão do palco for um lixo? E se eu correr muito e ficar na grade e for esmagada? E se uma carioca quiser brigar por lugar? E se eu tiver que defender a Tete de alguém armado?,not_toxic,not_toxic,not_toxic,"not_toxic, not_toxic, not_toxic",not_toxic
"A mídia esportiva carioca é um lixo radioativo. Se o Brasil ganhar, vai ser apesar do Tite e só por causa do ponta esquerda. Mas se perder, o Tite vai ser o mais burro do mundo e merece ser trocado pelo técnico do flamengo independentemente de quem seja ele.",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
A mídia lixo carioca QUER PORQUE QUER achar problema no gol do Meiras. Chora mais. Lixos,not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"A obsessão política, vai além do político em questão! É sobre VOCÊ que deseja que alguém da família do eleitor pegue COVID e morra ou que Nordestinos passem fome/sede. Sério, o povo precisa se tratar, pq o problema do Brasil é o brasileiro.",toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
"A pessoa fala merda, repercute e pede perdão. É sempre assim. A bola da vez é a tal Lilian, esposa do Renato Aragão, o Didi Mocó. Fez storie com nojinho de pobre no aeroporto de chinelo e bermuda. Te lembrar aqui que sua família família é sustentada por um retirante nordestino.",not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
A pessoa paga de crente mas a primeira oportunidade q tem fala q nordestino tem q passar fome w fala um monte de merda,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
A pronto a passabilidade de sou carioca pra poder falar merda e comparar nada com nada,not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
"A propaganda eleitoral do capetão apelando legal pros nordestinos kkkk Nordeste te conhece fdp, precisa se esforçar não",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"A q ponto o presidente colocou o país mermão, quem apoia ele desejando q o Brasil dê errado, desejando que pobre/nordestino morra,falando que vai matar os outros e mandando eu aproveitar a minha cachorra pq vou ter que matar ela pra comer carne??? Ainda bem q n sou cidadao de bem",not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
"A quadrilha que financia a POBREZA, pt a desgraça do Brasil. Vota denovo nesse LIXO povo nordestino.",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
A quantidade de sulista nesse inferno que raiva separa essa merda de uma vez e queimem,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"A que ponto chegamos?, por pessoas que estão pouco de fudendo pra nós?, desejar a que os nordestinos morra, desejar que passem cede... cara pra quer isso?, o direito de voto e livre, opiniões são diferentes vey. #Eleicoes2022 #BolsonaroPresidente22 #Lula",not_toxic,not_toxic,not_toxic,"not_toxic, not_toxic, not_toxic",not_toxic
"A realidade é que, enquanto eles priorizam os achismos deles de que o bolsonaro o melhor mesmo sabendo de tudo que o lixo fez e quer fazer, a gente vai fazer diferente, vamos usar algo que eles não tem: O cérebro 🧠.",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"A rede bobo é carioca, todo lixo consumido que eles amam foram sendo passado para o resto do país, até a maioria achar que faz parte de todo país. Escutar música clássica é de boa qualidade requer sinapses mais complexas e não são para todos.",not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
A rede globo é um lixo. Quem dita o que é linguagem certa por causa da globo de merda é um FONOAUDIÓLOGO kk Dialeto é natural e não uma PATOLÓGIA LINGUÍSTICA logo não tem nada a ver com essa profissão. ele não trabalha com correcao mas com suavização pra nordestino é uma troca,not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"A sensação térmica ontem chegou aos 54ºC. Depois de tantos dias de chuva, o carioca merecia uma praia, sombra e água de coco. Mas a responsabilidade de cuidar da praia também é nossa. Inadmissível as praias do RJ ficarem como ficaram ontem, puro lixo.",not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
"A sorte desse Palmeiras me poupe e para de falar merda!! O Inter deu o título antecipado ao Palmeiras perdendo pro poderoso América Mineiro, sorte do Palmeiras ou incapacidade do Inter? Sendo que não chegariam de jeito nenhum, mas para não morrer uma discussão inútil, né.",not_toxic,not_toxic,not_toxic,"not_toxic, not_toxic, not_toxic",not_toxic
A sulista de merda♥️,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
A supervisora (bolsonarista) da minha mãe chegou hoje no trabalho puta da vida chamando os nordestinos de burros. Minha mãe (nordestina) deu só uma olhada pra ela e ela se calou. Minha vontade é de denunciar. Nojenta fdp.,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"A taxa de lixo em Fortaleza vem aí. O prefeito Sarto enviou para a Câmara Municipal, em regime de urgência, projeto que versa sobre a cobrança pelo manejo de resíduos sólidos na Capital cearense. Após aprovada, a Lei terá 90 dias para ser implantada na cidade.",not_toxic,not_toxic,not_toxic,"not_toxic, not_toxic, not_toxic",not_toxic
A transmissão do campeonato carioca está um lixo,not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
A transmissão do campeonato carioca pela band já não é dos melhores ainda tem um lixo desse chamado Carlos Alberto abrindo a latrina dele pra falar merda lava a sua boca antes de falar da seleção do flamengo valeu lixo #CariocaNaBand,not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"A tv aberta brasileira é um lixo, numa quinta-feira a melhor programação é um jogo de futebol do campeonato carioca entre Audax x Vasco. Socorrooooo!!!",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"A xenofobia contra os nordestinos ESCANCARADA aí. Mas isso nem é novidade, espero tudo desse governo LIXO.",toxic,not_toxic,toxic,"toxic, not_toxic, toxic",toxic
"A última vingança de Bolsonaro contra os nordestinos | Revista Fórum SER IGNÓBIL, VIL, LIXO INÚTIL...",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"AGORA ESSE LIXO TÁ QUERENDO TIRAR A VOZ DO NORDESTINO, NÉ ? VAGABUNDO, COVARDE",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"AGORA TODO O BRASIL ESTÁ VENDO O QUANTO BOLSONARO É LIXO, COM A AJUDA DO PUXA-SACO DA PRF, ESTÃO IMPEDINDO O POVO NORDESTINO DE VOTAR, COM MEDO DE OUTRA DERROTA HISTÓRICA!!!! DEIXE O NORDESTE VOTA",not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
"AGRADEÇAM NOVAMENTE A NÓS NORDESTINOS, SEUS FDP",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"AINDA DA TEMPO! O povo indeciso, que pretende anular, votar em branco... APERTA 13! O nordestino hj ta passando perrengue pra conseguir exercer seu direito. VAMOS TIRAR O LIXO DO PODER. DEIXEM O NORDESTE VOTAR!",not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
ANARCHY NOW!: Sabe qual a diferença entre o sulista maravilha ... O lixo que nunca foi nem será luxo!,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
ANARCHY NOW!: Sabe qual a diferença entre o sulista maravilha ... O lixo que se acha luxo fala sério!,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"ANARCHY NOW!: Sabe qual a diferença entre o sulista maravilha ... O lixo que se acha luxo, fala sério!",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
ARGENTINA PEGA O SUL PF NGM QUER ESSES PORRA DE SULISTA LIXO PQP,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
AS COXINHAS DE FRANGO COM CATUPIRY DO BISCOITO MINEIRO ESTAO UMA MERDA.,toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
"ATENÇÃO NAZISTAS DA REGIÃO PR-SC-MT, NUNCA MAIS O CAPETÃO JAIR MB RESSURGIRÁ. COM OU SEM LULADRÃO , A MULHER É GENTE, O PRETO É GENTE, O GAY É GENTE, O NORDESTINO É GENTE. OLHEM PARA QATAR. VOCÊS VÃO SER CAÇADOS E LEVADOS A NUREMBERGUE. VOCÊS SÃO LIXO.",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
Acabei de desativar uma experiência do subúrbio carioca. O caminhão do lixo passando buzinando e os moradores jogando dinheiro pra caixinha de Natal. Eu amooo,not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
Acabei de descobrir que sulista literalidade come merda! Isso explica muita coisa...,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"Acabei de passar por um cara assistindo um vídeo de uma maluca dizendo pras empresas fecharem as portas caso os nordestinos forem procurar emprego. Eu falo que se FDP voasse, não daria pra ver o céu, meu é inacreditável isso, bando de xenófobos, todos com a doença bolsonarista",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"Acabei de ter a pior experiência com cs, tava curtindo pra caralho jogar, brotou 4 sulista no meu time, o game todo falando merda, homofobia, racismo, e ainda me kickaram dps tomei 2h de suspensão, e eu achava que voice em game era bom. 🫠",not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
"Acho engraçado a xenofobia com os nordestinos, depois tá lá postando ft de criança comendo lixo na África e diz ter dó",toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
"Acho engraçado que, quando um portal de fofoca postou sobre esse mlk, sem dizer de onde ele era, só se via gente amargurada falando merda sobre ele. Agora quando novamente postam sobre ele, dessa vez expondo que ele é nordestino, o mlk virou ídolo... Vai entender",not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
"Acho lindo a cultura sulista de preservação da limpeza nas cidade, das grandes cidades que ja visitei, a segunda maior do sul, Curitiba é bem limpa em locais públicos, em comparação com Fortaleza onde fui criado, nossa aqui é um lixão ambulante que o povo joga lixo sem vergonha.",not_toxic,not_toxic,toxic,"not_toxic, not_toxic, toxic",not_toxic
"Acho que a expressão cearense mói de peia cairia bem para essa gente em frente aos quartéis. E por favor, que seja a partir de segunda-feira e a gente assistindo. Atrapalham, o trânsito, produzem lixo, vociferam contra à democracia e se sentem invioláveis.",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
Acho “engraçado” quem tanto julga o nordeste e nós nordestinos mas é o primeiro a visitar/viajar pra cá rsrs bando de xenofóbico fdp,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"Acorda Brasil! Querem continuar vendo pessoas comendo osso, lixo e vivendo na miséria, enquanto o Bolsonaro fica passeando e fazendo motociata? Pelo Nordeste e pelo Brasil, agora é Lula Presidente! |Cristãos|Pastor|Nordestinos|Igreja| |Eleições|O TSE|O STF|Evangélicos|",toxic,not_toxic,toxic,"toxic, not_toxic, toxic",toxic
"Acordei com essa notícia merda. Desde criança eu ouço rádio, e o Gilsão era figura carimbada nas transmissões esportivas. Figura carimbada do radialismo carioca. 😔",toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
"Acordei pensando no Corinthians, puta merda como eu sou um bosta",toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
"Ae seu mineiro de merda, vou comer esse pão de queijo que você chama de cu",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
Ae vag@bundo! Continue!! Nos e os nordestinos vamos jogar vc p lata d lixo!,not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"Ae vc Mineiro que votou em massa no nine ,,,, faz a porra do L. Vão pagar metrô pra outro país e vcs sem nada ,,,,, uai só que merda isso .... Kskksksk",not_toxic,not_toxic,not_toxic,"not_toxic, not_toxic, not_toxic",not_toxic
Agora com esses FDP do PRF impedindo os nordestinos de votarem me preocupa bastante,not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"Agora eu percebo o que me falaram sobre parte dos cariocas: são preconceituosos pra caralho com nordestino, acham que tudo é uma coisa só, são mais rasos que um pires no conhecimento sobre a cultura dos 9 estados e gostam de abrir a boca pra falar merda",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"Agora n vão deixar os nordestinos votar, que absurdo, vc é lixo Bolsonaro. Vc e sua laia.",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
Agora no verão me vem esse bando de desgraçados sulistas bolsominions passar férias no Nordeste... Podia ter um sensor de indentificar essa praga pra barrar todos.,toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
Agora que Sulista Avengers acabou e o final foi uma merda. Podemos falar agora de mangá de delinquentes de verdade,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
Agr q descobri estou me sentindo um completk lixo,not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"Ah , vai tomar no reu cu , carioca escroto ! Porra , é maravilhoso ser expulso por não pagar 50 ? Tomara que a gente se foda todo dia, até aprender !!! Que merda.",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
Ah lá o que aquele lixo de gente do interior que virou no miliciano carioca fez. O pior é que um boa parte doa cretinos que votaram nisso nem ligam e capaz até de concordarem com a escolha que são a mesma 💩.,not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"Ah que saudade, quando o Santos tinha centro avante de verdade, o jogo de ontem era pra ter sido Santos 4x2 patético mineiro, mais o Marcos ruinado perdeu três gols que até minha avó faria lamentável, se fosse o Ricardo Oliveira o Santos teria ganhado do time lixo do Atlético..",toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
"Ah, o sudestino e sua grande sabedoria em definir sobre o sofrimento nordestino. Só eles sabem. Só eles entendem. Ódio ao Lula. Apoio a qualquer lixo que seja contra o Lula.",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"Ai ai, acompanhava o cara desde 2014 mas agora é só decepção, já sabia pq quem cala consente mas ser podre a esse nível, ser nordestino é ler e escutar cada merda em rede social, podridão define",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
"Ai gente pelo amor em, branco, feio, esquisito, nerdola, mimado, rico o que mais vc queriam? Esse kami ai sempre foi um merda KKKKKKKK falando do povo nordestino AAAA filha da puta disgraçado",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
Ai olha os bolsonaristas escroto igual a ele preconceituoso imundos nem com dinheiro tu se torna bonita sua merda toma no cu esse desse povo que vota nesse homem lixo do caralho tudo que vc tá desejando pros nordestino que Deus te cobre em dobro sua ridícula mal amada nojo 🤮 🤬,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"Ai que Argentino é racista contra brasileiros BRASILEIROS MATAM BRASILEIROS SÓ PORQUÊ SÃO NEGROS! Sulistas x Nordestinos vcs tão é falando muita merda. Nunca mais na minha vida vou tá do lado de Argentinos, até pq o Messi já conseguiu o que merecia. Era por ele.",toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
"Ain os nordestinos vem aqui no Sul vender rede... E tu que vai nas festa vender droga, fdp.",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"Ain, estão ofendendo a honra da tropa do generaleco. General, VÁ TOMAR NO SEU CU COM SEU DISCURSO, vai falar essa merda aí pro nordestino que vai ter que voltar a depender de caminhão pipa por causa do novo governo, que vocês acharam lindo TOMAR O PODER.",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
Ainda falando merda com essa bandeira ao fundom. O Mourão é tão gaúcho o quanto eu sou mineiro,toxic,not_toxic,toxic,"toxic, not_toxic, toxic",toxic
Ainda sem acreditar que vou ter q sair de casa em mais um domingo só por causa de um bando de sulistas desgraçados,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
Ainda tem irmão nordestino que idólatra esse merda do krl,not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
Ainda tem mais 1 hora e meia NORDESTINOS VOTEM PRA TIRAR ESSE LIXO DA PRESIDÊNCIA,toxic,not_toxic,toxic,"toxic, not_toxic, toxic",toxic
Alexandre de moraes capeta lixo nao vai ter extensão do horário de votação pros nordestinos LIXO #Eleicoes2022,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
Alguém proíba esse fdp de falar “irmãos nordestinos” 🤠🤠🤠,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
"Aline Mineiro Ex Fazenda13 falando que um dos favoritos dela pro prêmio é o Iran, não é ato que ela é casada com o Lixo do Léo Lins né? Mulher micosa #RoçaAFazenda",not_toxic,toxic,toxic,"not_toxic, toxic, toxic",toxic
Alisson se eu te vejo na rua seu sulista de merda,toxic,toxic,toxic,"toxic, toxic, toxic",toxic
Amanhã falo o que achei do jogo de hoje. Tô cansada. Jogo de carioca 21h é uma merda.,toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
"Analista do campeonato mineiro mandando bem. Inclusive, quais times do Brasil tem condições financeiras de competir com Flamengo e Palmeiras esse ano? Pois é, acho que nenhum. Muito fácil serr himalaios hoje em dia, é só abrir a boca pra falar merda.",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
Ano passado a CBF fazia de tudo pra beneficiar o Atlético mineiro e esse ano é o varmengo. CBF o maior lixo do futebol brasileiro. #CBF.,toxic,toxic,not_toxic,"toxic, toxic, not_toxic",toxic
"Ano que vem teremos candidatos aos títulos na América do Sul e no Brasil. Palmeiras, Flamengo, Fluminense, Athletico Paranaense, Atlético Mineiro e Inter. Estaduais nem conto porque não vale merda nenhuma.",toxic,toxic,toxic,"toxic, toxic, toxic",toxic
